Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,No of Trades
M&M,EQ,18-Sep-17,"1,294.25","1,301.00","1,306.20","1,291.00","1,293.40","1,295.00","6,51,221","84,62,46,873.60","27,283"
M&M,EQ,19-Sep-17,"1,295.00","1,304.00","1,304.70","1,288.10","1,294.05","1,294.75","4,87,526","63,20,20,751.50","17,824"
M&M,EQ,20-Sep-17,"1,294.75","1,300.10","1,306.20","1,289.60","1,289.65","1,292.45","8,38,237","1,08,63,25,016.30","35,420"
M&M,EQ,21-Sep-17,"1,292.45","1,293.50","1,296.65","1,280.10","1,291.00","1,291.45","4,85,105","62,59,04,780.55","18,723"
MARUTI,EQ,02-May-17,"6,524.85","6,676.00","6,730.00","6,618.00","6,690.00","6,705.50","8,88,539","5,93,05,42,978.55","83,017"
MARUTI,EQ,03-May-17,"6,705.50","6,714.80","6,714.95","6,631.10","6,656.00","6,644.00","3,70,021","2,46,44,42,630.60","33,758"
MARUTI,EQ,04-May-17,"6,644.00","6,662.00","6,686.95","6,626.00","6,632.00","6,639.80","3,72,533","2,47,66,08,891.70","45,343"
MARUTI,EQ,05-May-17,"6,639.80","6,625.55","6,676.40","6,602.00","6,649.00","6,654.15","3,37,498","2,24,38,38,753.85","28,278"
MARUTI,EQ,08-May-17,"6,654.15","6,688.00","6,703.65","6,612.55","6,626.00","6,630.55","2,08,481","1,38,88,62,241.40","26,270"
MARUTI,EQ,09-May-17,"6,630.55","6,666.00","6,666.00","6,615.00","6,632.00","6,629.30","2,15,203","1,42,89,34,947.35","31,420"
MARUTI,EQ,10-May-17,"6,629.30","6,645.00","6,754.00","6,635.90","6,746.80","6,737.75","2,95,859","1,98,38,92,893.10","34,189"
MARUTI,EQ,11-May-17,"6,737.75","6,749.00","6,789.40","6,711.10","6,755.00","6,762.50","2,59,056","1,75,06,89,239.00","34,610"
MARUTI,EQ,12-May-17,"6,762.50","6,798.00","6,798.00","6,691.00","6,727.00","6,730.20","2,56,491","1,72,55,45,143.75","27,117"
MARUTI,EQ,15-May-17,"6,730.20","6,759.40","6,839.10","6,733.45","6,824.00","6,823.90","3,36,356","2,28,61,57,837.90","31,377"
MARUTI,EQ,16-May-17,"6,823.90","6,850.00","6,977.55","6,830.00","6,968.40","6,953.95","7,07,624","4,88,41,73,800.35","49,047"
